,plan_encoded,country_encoded,acquisition_channel_encoded,primary_device_encoded,age_encoded,show_genre_encoded,lifecycle_stage_encoded,is_bundled_encoded,nps_score,has_showtime_add_on_encoded
575,2,3,5,0,35,2,1,1,5.3,0
576,1,0,4,5,25,5,0,1,10.0,0
577,2,1,2,4,15,7,0,1,6.4,1
578,3,4,0,0,31,4,0,1,2.9,1
579,2,1,2,4,5,6,1,1,8.6,0
580,0,0,2,1,18,4,1,1,6.1,0
581,1,2,0,2,36,1,1,1,6.4,0
582,3,3,4,5,33,2,0,0,7.6,1
583,0,4,3,0,34,5,0,0,6.4,0
584,0,4,5,1,10,0,2,0,2.5,1
585,0,3,3,1,39,1,3,0,6.2,0
586,2,4,5,2,42,7,2,1,9.4,0
587,2,3,0,1,30,0,0,1,6.7,0
588,0,3,0,3,16,1,0,0,6.4,0
589,0,2,2,1,17,2,0,0,6.8,1
590,1,4,1,1,20,0,0,0,10.0,1
591,0,4,0,4,22,2,0,0,4.9,1
592,3,3,1,3,11,6,1,1,6.4,1
593,2,1,3,1,10,5,2,1,3.4,0
594,3,0,0,2,0,6,0,0,6.4,1
595,1,2,1,4,0,2,0,1,5.8,0
596,0,4,3,1,24,1,0,0,6.4,1
597,2,4,0,4,21,7,2,0,6.1,0
598,0,4,5,3,22,2,4,0,4.8,0
599,1,4,1,4,8,6,0,0,8.9,0
600,0,4,0,2,46,2,0,1,6.4,0
601,3,4,0,1,0,7,0,1,2.5,1
602,1,2,1,1,23,7,1,1,7.6,1
603,0,1,4,0,32,1,0,1,5.4,1
604,3,4,2,1,42,1,3,1,8.5,1
605,0,4,4,3,7,3,3,0,6.4,0
606,0,4,2,1,17,1,2,0,4.3,0
607,1,3,2,4,21,2,4,1,6.0,0
608,0,0,4,1,22,2,1,1,7.5,0
609,1,0,5,1,39,7,0,0,6.3,0
610,1,1,1,0,29,2,3,0,6.4,1
611,3,1,1,1,24,4,3,1,5.2,1
612,0,3,5,3,3,4,2,1,6.7,0
613,1,4,0,5,17,4,3,0,6.2,0
614,2,1,3,5,12,2,1,0,6.4,0
615,3,1,4,5,5,2,0,0,9.3,1
616,2,4,5,2,33,2,4,0,7.4,0
617,3,4,1,1,44,2,0,0,3.9,1
618,0,4,4,0,34,2,1,1,5.0,0
619,2,3,1,1,16,6,0,0,7.1,0
620,2,4,0,4,18,7,4,1,8.3,0
621,2,0,2,4,0,7,1,0,9.4,0
622,0,0,5,0,34,6,0,0,9.0,0
623,1,2,1,3,14,1,0,0,4.1,0
624,2,4,0,2,15,0,2,1,8.2,1
625,3,4,0,1,39,3,1,1,5.3,1
626,0,4,1,0,0,0,4,0,4.7,0
627,0,4,0,2,42,4,0,0,6.4,0
628,0,3,5,5,19,7,1,0,7.1,0
629,3,0,5,5,25,2,0,0,5.5,1
630,1,2,2,1,27,2,0,0,6.5,0
631,0,4,1,2,18,0,0,0,6.4,0
632,3,4,5,4,16,2,0,0,10.0,1
633,2,2,5,2,15,6,2,0,8.0,0
634,1,3,1,4,36,2,1,1,7.3,0
635,3,1,2,3,26,1,0,1,3.0,1
636,3,1,5,4,3,2,1,1,6.8,1
637,1,0,5,1,51,4,1,0,7.9,0
638,2,4,1,4,0,7,1,0,5.3,0
639,3,2,1,5,11,2,0,1,6.4,1
640,2,4,5,2,0,3,2,1,8.1,0
641,0,2,3,3,23,1,3,0,10.0,0
642,0,4,3,5,0,2,2,1,5.9,0
643,2,4,3,3,47,6,2,0,3.8,0
644,3,4,4,3,13,0,2,1,6.3,1
645,2,0,2,2,0,6,0,1,7.1,0
646,2,4,5,0,35,5,0,1,6.7,0
647,1,4,4,2,14,5,0,0,7.1,0
648,2,4,1,3,28,4,2,0,5.7,0
649,0,4,1,1,19,2,2,0,9.0,0
650,1,4,2,4,0,7,2,0,9.3,0
651,3,4,2,4,10,6,0,0,5.2,1
652,3,4,4,2,0,2,0,1,10.0,1
653,3,2,0,0,23,7,0,1,6.4,1
654,1,0,0,5,27,1,0,0,7.9,0
655,2,4,0,4,21,3,4,1,6.1,0
656,1,4,5,2,17,4,3,0,9.0,0
657,0,4,5,4,0,1,0,1,7.9,0
658,2,4,1,1,19,2,3,0,5.6,0
659,0,2,0,4,33,1,1,1,4.8,0
660,3,0,3,1,6,2,4,0,3.5,1
661,1,4,1,1,32,4,0,0,8.6,0
662,3,2,3,2,30,7,3,0,6.4,1
663,3,1,5,4,26,4,1,1,6.4,1
664,1,4,0,4,36,0,0,0,8.1,0
665,0,4,0,5,34,2,3,0,6.4,1
666,2,1,5,4,17,7,3,1,4.9,0
667,3,4,3,1,17,5,2,0,4.8,1
668,0,4,3,5,0,2,0,1,7.0,0
669,2,4,4,4,8,2,0,0,8.0,0
670,0,4,3,4,0,2,3,1,4.8,1
671,3,4,2,0,6,5,0,0,8.3,1
672,3,4,5,3,16,1,1,1,2.1,1
673,1,3,3,2,2,3,1,0,6.6,0
674,3,4,4,1,39,7,1,1,3.6,1
675,0,4,2,1,22,2,0,1,10.0,0
676,3,1,1,3,22,6,0,1,5.4,1
677,0,4,0,0,6,2,1,0,7.5,1
678,1,4,4,2,34,2,1,0,6.4,0
679,0,3,3,2,12,4,2,0,6.4,1
680,3,1,5,2,10,2,1,1,5.6,1
681,3,4,3,1,22,7,3,0,4.7,1
682,3,4,4,3,20,7,0,0,6.5,1
683,0,0,0,1,22,2,1,1,8.3,0
684,1,4,2,0,10,4,0,0,5.8,0
685,0,4,2,0,8,7,1,0,5.5,0
686,3,2,4,2,23,5,0,0,6.9,1
687,3,1,3,2,18,2,0,0,7.4,1
688,3,1,1,0,23,4,0,1,5.2,1
689,3,3,0,3,18,7,2,0,9.6,1
690,2,4,3,5,33,3,1,1,9.2,0
691,1,4,1,4,22,2,1,0,5.1,0
692,2,4,5,4,28,2,0,0,6.4,0
693,3,2,5,2,13,2,3,0,6.5,1
694,3,2,5,3,0,2,0,0,1.4,1
695,3,4,2,1,2,4,0,1,5.4,1
696,0,4,1,0,13,1,0,0,9.7,0
697,3,1,1,1,24,2,3,1,7.9,1
698,1,3,3,2,34,2,1,1,6.3,0
699,0,4,3,1,4,4,3,1,6.4,0
700,3,4,2,5,25,2,0,0,4.5,1
701,3,4,5,5,35,4,2,0,3.9,1
702,2,2,5,3,7,2,3,1,6.4,0
703,3,2,5,1,28,1,4,1,5.3,1
704,3,4,0,3,20,2,0,1,4.3,1
705,0,0,3,2,12,2,3,0,6.0,0
706,3,4,4,1,0,6,0,0,6.1,1
707,2,4,0,2,30,4,3,0,6.5,1
708,3,3,0,4,20,2,0,0,7.7,1
709,0,4,3,0,35,4,0,1,6.4,0
710,2,4,5,5,26,0,1,1,6.5,0
711,3,1,2,5,28,7,1,0,5.7,1
712,3,1,5,1,21,7,1,0,9.9,1
713,2,4,5,2,0,0,0,0,6.4,0
714,3,4,5,5,22,6,0,0,7.0,1
715,3,1,3,1,40,5,2,1,3.0,1
716,0,0,4,5,18,5,3,1,2.9,0
717,1,4,5,2,43,1,0,0,6.5,0
718,1,4,2,1,2,4,1,0,5.1,1
719,2,1,5,2,15,1,0,1,9.3,0
720,1,1,4,1,4,2,0,1,7.0,0
721,2,1,0,3,35,3,0,1,10.0,0
722,2,3,0,2,8,1,0,0,3.7,0
723,0,0,1,5,26,2,0,0,8.7,0
724,3,1,3,2,15,1,2,1,6.8,1
725,3,4,0,0,49,6,2,0,3.0,1
726,2,4,2,0,48,2,0,0,6.5,0
727,0,4,4,2,14,7,1,0,6.1,0
728,1,0,3,3,0,2,0,0,9.9,0
729,2,4,5,5,16,2,0,0,5.6,0
730,2,0,3,1,0,0,2,0,7.5,0
731,1,2,1,4,0,0,0,0,6.4,0
732,1,2,1,1,25,5,1,0,6.5,1
733,1,3,2,2,26,2,0,0,10.0,0
734,3,4,2,0,30,2,4,1,3.7,1
735,2,4,0,0,26,2,0,1,9.8,0
736,1,4,5,0,15,7,4,0,6.5,0
737,1,4,4,0,28,3,4,0,8.4,0
738,2,1,0,2,13,4,1,0,7.1,0
739,0,4,4,1,19,0,2,0,10.0,0
740,0,1,0,0,14,4,1,1,5.1,0
741,1,4,3,5,17,5,0,0,6.4,0
742,1,4,4,3,39,4,2,0,5.2,0
743,3,4,1,1,34,6,1,0,5.0,1
744,2,2,3,4,0,2,1,0,8.5,0
745,0,4,2,1,30,3,0,0,6.5,0
746,1,4,1,0,14,7,2,1,8.0,1
747,3,4,5,2,28,2,0,0,10.0,1
748,1,4,2,0,42,6,1,0,6.7,0
749,3,2,3,5,1,6,4,0,6.4,1
750,0,4,2,1,18,7,0,1,9.8,0
751,3,3,4,5,19,1,0,1,6.4,1
752,2,4,4,4,32,0,3,0,5.6,0
753,0,4,5,0,22,0,1,0,7.5,0
754,3,3,4,4,37,2,0,0,4.1,1
755,0,1,0,5,36,6,3,0,2.6,1
756,2,1,2,0,12,2,3,1,6.3,0
757,2,0,3,0,13,1,0,0,5.0,1
758,3,0,4,0,4,6,0,0,4.1,1
759,2,2,2,5,3,3,4,1,8.0,0
760,3,4,2,0,0,4,2,0,5.0,1
761,0,4,3,4,6,6,0,1,6.4,0
762,2,1,1,5,30,5,3,1,5.9,0
763,3,0,3,3,39,0,1,0,10.0,1
764,1,3,3,0,21,1,0,0,6.4,0
765,1,4,3,5,27,1,2,0,7.4,0
766,2,4,1,5,29,6,0,0,3.2,0
767,3,0,0,5,6,2,1,1,5.7,1
768,3,1,1,2,47,2,0,0,10.0,1
769,3,0,0,0,17,2,1,0,6.4,1
770,2,0,0,0,15,3,1,0,10.0,0
771,1,0,1,1,26,3,3,0,8.0,0
772,1,4,1,4,31,2,1,1,5.1,0
773,1,2,2,1,4,4,0,1,7.5,0
774,0,1,0,4,26,2,3,0,10.0,0
775,1,0,0,5,29,2,0,0,4.1,0
776,0,4,5,2,29,2,1,0,6.4,0
777,3,4,3,1,18,2,2,1,3.2,1
778,3,4,3,1,32,2,4,0,7.8,1
779,2,4,1,2,20,2,1,0,6.5,0
780,2,4,4,1,29,2,2,0,6.4,0
781,3,4,1,1,12,2,0,0,1.8,1
782,3,1,1,1,13,2,1,1,6.4,1
783,0,4,3,2,14,1,1,0,6.4,0
784,0,1,1,0,29,3,3,1,3.5,1
785,2,1,0,4,23,7,0,0,6.4,0
786,2,4,3,0,0,3,3,1,7.4,0
787,0,4,1,4,1,0,3,1,3.2,0
788,1,1,2,1,11,7,0,0,9.9,0
789,1,1,5,5,0,1,0,0,4.0,0
790,0,1,5,4,17,7,0,0,5.3,0
791,2,4,1,5,27,3,0,1,9.0,1
792,0,2,1,1,14,4,0,1,3.6,0
793,2,4,2,5,23,2,2,0,4.4,0
794,2,0,0,3,24,2,4,0,6.4,1
795,2,4,4,5,9,2,3,0,6.0,0
796,3,4,2,1,32,4,1,0,8.8,1
797,1,2,3,1,6,1,0,0,3.2,0
798,3,4,4,4,18,1,1,0,3.3,1
799,1,1,2,3,5,2,2,0,7.0,0
800,1,4,3,1,9,2,0,1,6.4,0
801,3,4,5,0,16,7,0,0,10.0,1
802,2,4,0,1,1,2,0,1,6.4,0
803,3,4,1,1,3,3,0,1,8.3,1
804,1,1,4,3,4,6,1,0,4.5,0
805,2,4,4,0,23,2,4,0,7.7,0
806,2,2,5,3,25,1,3,0,3.6,0
807,3,3,5,3,36,2,0,0,6.4,1
808,1,4,0,5,0,7,0,0,7.6,0
809,0,1,1,3,19,0,0,0,9.0,0
810,3,4,2,0,27,2,0,0,4.3,1
811,0,4,0,4,17,7,3,1,7.0,0
812,3,4,5,1,18,2,0,1,8.3,1
813,2,4,5,2,0,2,0,1,10.0,0
814,3,1,4,4,1,1,0,1,8.0,1
815,1,1,2,4,23,1,0,0,7.1,0
816,1,4,0,5,9,7,0,0,5.0,0
817,3,1,0,4,8,2,0,1,6.4,1
818,0,1,1,2,29,2,1,0,6.4,0
819,2,2,4,0,23,4,3,1,7.6,1
820,0,4,4,2,21,3,0,0,8.1,1
821,3,2,5,0,2,2,0,0,8.4,1
822,3,4,1,4,9,4,0,1,6.4,1
823,0,1,2,0,17,2,0,0,8.9,0
824,1,0,0,2,8,5,1,0,6.4,0
825,0,2,2,5,30,3,2,1,6.0,0
826,2,3,1,2,1,3,0,1,8.0,0
827,2,4,3,0,44,6,4,1,6.4,1
828,0,4,2,0,12,4,0,0,8.4,0
829,0,4,1,2,19,3,3,1,6.6,1
830,0,3,0,3,19,1,0,0,6.4,0
831,1,4,3,2,40,5,1,0,3.7,0
832,1,4,0,0,16,2,1,1,5.9,0
833,2,4,0,4,24,2,4,0,7.8,0
834,0,4,5,2,15,2,2,1,5.2,0
835,1,1,2,2,8,2,1,0,10.0,0
836,2,0,1,3,1,0,0,0,3.6,0
837,1,4,3,1,27,1,0,1,7.7,0
838,2,4,5,2,18,7,0,1,7.2,0
839,3,4,0,0,0,7,1,1,6.0,1
840,0,3,3,4,22,7,0,1,10.0,0
841,0,4,2,2,15,0,3,0,8.5,1
842,3,4,0,5,25,4,0,0,7.8,1
843,2,3,5,4,4,2,0,0,7.5,0
844,3,1,0,1,27,2,1,0,6.4,1
845,1,1,0,1,15,0,1,1,8.6,0
846,0,3,2,1,2,2,0,0,6.6,0
847,1,4,2,0,2,2,0,1,6.0,0
848,3,0,0,1,53,3,0,0,7.5,1
849,0,1,1,3,12,2,2,1,8.7,0
850,0,4,4,3,0,3,1,0,2.4,0
851,2,4,0,3,25,3,2,1,4.6,0
852,2,1,1,5,0,6,0,1,6.5,0
853,0,4,4,1,32,2,1,1,4.3,0
854,1,2,5,0,7,2,1,1,7.1,0
855,1,1,5,4,14,3,0,0,4.3,0
856,3,0,2,1,32,4,1,0,6.0,1
857,0,0,3,0,0,2,1,0,5.8,0
858,1,3,0,5,56,2,1,0,6.4,0
859,3,3,5,2,33,5,2,0,7.1,1
860,1,0,0,4,25,1,0,0,7.4,0
861,3,0,1,0,37,2,1,1,8.9,1
862,0,4,0,1,1,1,0,0,6.1,0
863,3,0,1,2,19,1,0,1,9.2,1
864,0,3,1,2,19,1,0,0,6.6,0
865,3,4,1,1,0,3,0,0,5.2,1
866,1,3,3,2,36,2,0,0,5.4,0
867,3,1,2,4,28,2,1,1,5.1,1
868,3,0,4,3,11,1,3,1,6.1,1
869,1,0,1,4,0,5,0,0,8.5,0
870,3,2,5,1,29,0,4,1,4.0,1
871,1,4,0,1,19,7,4,0,7.8,0
872,1,3,3,0,9,7,0,0,6.7,0
873,3,1,2,2,40,4,2,1,8.0,1
874,1,0,0,5,21,3,3,0,9.6,0
875,2,0,2,2,7,7,1,0,9.6,0
876,3,0,1,1,13,7,0,1,5.4,1
877,0,1,2,2,26,2,1,1,6.9,0
878,1,1,5,2,43,2,4,0,8.9,0
879,0,4,1,1,33,1,0,0,4.2,0
880,1,4,0,2,45,7,0,0,6.0,0
881,2,4,0,4,10,2,0,0,6.4,0
882,1,4,0,1,14,2,1,0,3.4,0
883,2,1,4,1,32,2,0,0,4.5,1
884,2,4,4,5,27,3,4,0,8.8,0
885,1,4,4,2,31,6,3,0,4.1,0
886,3,1,0,1,22,3,0,1,7.7,1
887,2,4,2,2,7,2,1,0,7.8,0
888,1,1,0,3,26,2,3,0,3.5,0
889,0,1,0,4,2,7,1,0,6.4,0
890,0,4,1,4,10,7,0,1,7.8,0
891,2,2,4,1,12,2,0,0,4.3,1
892,1,1,5,1,24,4,3,0,3.1,0
893,0,4,0,2,16,4,4,0,8.0,0
894,2,4,5,4,15,2,1,0,8.1,0
895,0,4,5,3,24,3,0,0,7.5,0
896,0,3,2,5,30,2,1,0,6.4,0
897,2,2,1,3,16,2,3,0,6.4,0
898,1,4,3,2,24,1,0,0,6.4,0
899,2,4,0,1,1,3,1,1,7.9,0
900,0,3,0,4,25,7,2,1,8.9,0
901,3,4,1,5,34,2,2,0,7.0,1
902,3,4,0,4,22,4,0,0,6.6,1
903,2,4,3,0,41,2,0,0,6.4,0
904,1,4,4,1,26,1,0,1,6.4,0
905,3,4,0,5,0,4,0,0,7.9,1
906,0,4,5,2,11,3,2,1,6.8,0
907,2,4,5,0,12,2,1,1,4.2,0
908,2,4,5,2,47,1,1,0,6.5,0
909,0,0,2,1,38,2,4,1,4.9,0
910,2,0,5,4,37,2,1,0,10.0,0
911,0,2,2,3,7,6,0,0,10.0,0
912,2,2,1,2,15,7,1,1,6.4,0
913,3,4,2,3,31,3,0,1,7.4,1
914,3,1,2,3,20,7,0,1,6.4,1
915,2,4,4,2,15,1,0,0,7.0,0
916,3,4,4,4,25,7,0,1,6.1,1
917,2,1,0,4,42,6,1,1,5.5,0
918,3,4,0,5,18,1,0,1,5.5,1
919,0,4,0,3,9,2,0,0,4.0,1
920,0,3,2,4,28,2,1,1,4.7,0
921,1,3,4,0,11,6,1,0,7.1,1
922,3,4,3,5,19,6,1,1,7.5,1
923,0,2,5,0,17,5,1,0,6.0,0
924,3,1,2,3,17,2,0,0,3.1,1
925,3,2,4,5,16,4,2,0,5.9,1
926,0,4,0,3,19,4,4,0,7.6,0
927,1,4,1,1,10,7,1,1,6.4,0
928,1,4,1,2,13,3,2,1,5.7,0
929,1,2,3,1,1,1,1,0,5.5,0
930,2,4,4,5,28,4,0,1,5.3,0
931,1,4,2,0,7,7,0,1,6.4,0
932,3,0,5,2,28,2,1,1,2.6,1
933,0,4,0,4,24,2,0,0,6.9,0
934,0,1,1,3,24,2,0,1,4.3,0
935,1,4,0,5,0,2,2,1,6.3,0
936,3,4,3,2,32,6,0,1,5.3,1
937,2,0,5,3,11,2,0,1,10.0,0
938,2,0,5,2,45,6,2,0,8.3,0
939,0,4,1,1,25,7,1,0,7.4,0
940,1,1,3,5,16,5,0,1,8.4,0
941,0,4,1,3,0,0,1,1,6.4,0
942,0,3,4,3,37,6,0,1,6.4,0
943,0,4,0,5,14,2,0,0,2.8,0
944,0,4,1,4,41,2,1,0,5.9,0
945,2,1,2,1,15,3,0,0,10.0,0
946,1,1,5,3,51,2,0,1,6.4,0
947,0,1,5,5,0,5,0,0,9.7,1
948,2,4,2,1,23,7,0,1,4.1,0
949,1,4,0,5,8,2,0,1,5.2,0
950,2,4,5,0,12,1,1,0,8.3,0
951,2,3,4,1,23,6,3,0,9.2,0
952,1,3,3,1,9,1,2,0,6.0,0
953,1,1,2,5,22,2,0,0,5.3,0
954,2,4,2,4,4,4,0,1,8.0,0
955,1,1,3,0,15,1,0,1,4.7,0
956,3,4,5,2,27,6,0,0,9.2,1
957,0,4,2,1,26,1,3,0,1.9,0
958,0,4,0,1,19,2,4,0,4.5,0
959,2,3,3,2,10,0,1,0,7.1,0
960,1,4,0,2,0,2,0,0,1.8,0
961,3,0,2,5,26,2,3,0,0.5,1
962,3,4,3,5,12,2,0,1,9.6,1
963,1,2,5,2,25,6,4,0,6.8,0
964,3,1,0,3,30,5,0,0,6.4,1
965,3,4,0,1,56,2,1,0,1.9,1
966,2,0,4,0,15,4,0,0,6.4,0
967,3,1,5,1,14,5,0,0,5.2,1
968,3,4,4,4,0,7,3,1,8.2,1
969,1,4,2,5,4,1,3,1,5.5,0
970,2,4,0,0,12,7,0,1,7.3,1
971,0,0,3,3,30,4,1,1,8.0,1
972,3,4,5,0,17,3,3,0,8.0,1
973,0,0,3,4,38,0,0,1,4.9,0
974,0,4,5,3,17,1,3,1,6.4,0
975,2,4,2,2,23,5,0,1,6.2,0
976,0,1,2,5,42,3,0,0,8.7,0
977,2,0,3,1,13,1,1,0,4.5,0
978,0,4,2,0,32,7,0,0,9.7,0
979,0,1,0,5,16,5,1,0,2.9,0
980,0,4,5,2,33,5,1,0,5.5,0
981,3,4,5,4,17,3,0,0,7.2,1
982,1,4,0,2,21,4,1,1,0.0,0
983,1,4,5,2,0,7,0,1,9.2,1
984,1,1,4,3,26,2,4,1,9.8,0
985,1,0,3,0,44,1,0,0,8.6,0
986,2,2,2,4,35,4,0,0,4.1,0
987,1,4,1,1,11,0,0,1,5.3,0
988,0,4,5,2,37,3,1,1,5.9,0
989,1,2,5,5,12,4,1,1,2.5,0
990,1,4,3,1,0,4,0,1,6.3,0
991,1,4,1,0,47,7,1,1,8.5,0
992,3,4,5,3,37,2,0,0,4.6,1
993,1,4,4,5,22,2,3,1,7.1,0
994,0,4,2,3,30,6,2,0,7.1,1
995,1,4,5,3,6,3,4,0,6.2,0
996,3,3,2,5,4,4,0,0,10.0,1
997,0,4,2,2,28,2,3,0,6.4,0
998,3,4,4,5,6,2,2,0,6.7,1
999,3,0,0,4,2,2,0,1,7.2,1
1000,3,4,0,5,0,1,0,1,6.4,1
1001,3,4,4,3,46,1,3,1,7.7,1
1002,0,2,0,1,26,7,3,0,3.1,0
1003,1,4,4,0,13,2,0,1,6.3,0
1004,3,1,3,1,1,4,2,1,3.4,1
1005,2,1,1,0,34,7,0,0,6.4,0
1006,0,4,1,0,13,1,0,0,7.7,0
1007,0,4,1,1,13,1,0,0,6.4,0
1008,0,0,3,1,0,2,4,1,5.6,0
1009,2,4,3,0,26,3,0,0,5.4,0
1010,2,1,5,2,0,6,0,0,5.1,0
1011,3,2,5,3,6,4,0,0,6.6,1
1012,2,1,2,2,15,1,0,1,6.9,1
1013,2,4,2,4,17,5,1,0,7.8,0
1014,2,4,2,3,11,1,2,0,7.0,0
1015,3,4,4,4,0,0,1,0,6.4,1
1016,2,4,4,1,25,2,3,0,9.1,1
1017,2,4,5,4,10,2,0,1,5.9,1
1018,3,4,5,3,44,1,3,0,6.4,1
1019,2,4,1,1,22,4,2,1,3.9,0
1020,3,4,2,2,24,4,2,0,5.8,1
1021,3,1,0,1,12,5,0,0,3.2,1
1022,1,1,2,5,44,3,1,1,6.5,0
1023,3,4,4,1,29,2,0,0,6.4,1
1024,1,4,1,1,22,4,3,0,6.4,0
1025,2,4,0,5,45,3,3,0,8.2,0
1026,2,4,0,5,23,7,2,1,6.4,0
1027,3,4,2,5,21,2,3,0,2.2,1
1028,2,3,5,2,17,4,0,0,7.2,0
1029,1,4,4,0,37,4,3,1,2.2,1
1030,0,4,5,4,0,3,4,1,6.4,0
1031,0,4,4,4,25,3,3,1,4.6,0
1032,2,0,1,1,34,2,3,0,7.8,0
1033,3,4,3,2,28,0,4,0,6.4,1
1034,0,4,1,5,43,7,0,0,8.9,0
1035,1,0,4,4,25,2,0,0,3.7,0
1036,2,4,3,3,26,2,0,1,2.4,0
1037,1,0,1,3,16,1,3,0,5.8,0
1038,3,3,5,1,25,2,2,0,6.4,1
1039,1,2,3,4,9,4,0,1,8.8,0
1040,3,2,3,0,13,2,2,1,5.2,1
1041,1,1,0,5,14,6,2,0,6.2,0
1042,3,1,5,3,0,0,0,1,9.4,1
1043,2,4,0,3,14,2,0,1,6.3,0
1044,2,4,3,0,0,6,0,1,9.8,0
1045,1,4,3,2,26,6,0,0,8.6,0
1046,0,4,0,2,26,7,3,0,5.9,0
1047,0,4,0,1,0,2,3,1,6.3,0
1048,0,4,0,2,26,2,1,0,7.5,0
1049,3,4,2,5,10,5,3,1,6.4,1
1050,0,4,0,4,31,6,0,1,6.4,0
1051,1,4,5,4,14,5,1,0,4.2,0
1052,1,4,3,0,2,2,0,0,6.4,0
1053,1,4,2,2,24,5,1,0,5.2,0
1054,1,4,4,1,13,2,0,0,6.4,0
1055,2,4,5,0,0,3,0,1,5.6,0
1056,0,4,3,3,18,2,0,0,5.6,0
1057,1,4,5,4,28,2,3,1,3.6,0
1058,2,4,5,4,5,6,0,0,4.8,0
1059,0,4,3,5,12,1,0,1,8.6,0
1060,1,3,4,0,33,2,1,0,7.6,0
1061,2,4,3,4,15,2,0,0,4.8,0
1062,1,1,1,5,3,3,0,1,8.5,0
1063,0,3,0,1,45,2,0,0,5.6,0
1064,1,4,1,0,51,2,3,0,5.1,0
1065,2,4,2,2,0,7,0,1,8.1,0
1066,2,2,2,4,14,1,1,0,7.5,0
1067,3,4,0,0,25,6,3,0,7.0,1
1068,3,3,2,3,6,2,0,1,6.4,1
1069,0,0,1,1,31,7,0,1,6.4,0
1070,3,1,0,1,36,2,0,0,3.9,1
1071,1,4,0,5,41,4,4,0,8.1,0
1072,3,4,5,2,0,1,4,1,5.3,1
1073,3,4,3,3,30,0,0,1,4.2,1
1074,0,3,1,0,39,4,2,1,8.0,0
1075,3,4,5,0,6,2,0,1,4.6,1
1076,2,4,3,5,30,0,4,0,6.4,0
1077,3,0,5,0,0,2,1,0,4.1,1
1078,1,4,3,0,2,4,0,1,6.4,0
1079,2,2,4,1,2,4,4,1,6.9,0
1080,0,2,3,1,20,1,0,0,6.4,0
1081,2,4,4,0,34,2,1,0,6.1,0
1082,0,3,5,3,26,4,0,1,4.9,0
1083,1,1,2,1,0,7,1,0,7.8,0
1084,2,3,4,5,28,3,0,0,6.4,1
1085,3,4,1,3,22,7,0,0,4.6,1
1086,1,4,4,4,36,0,1,0,9.7,0
1087,3,4,4,1,20,0,0,0,4.5,1
1088,1,4,0,4,29,3,1,0,10.0,0
1089,2,2,0,1,14,2,4,0,7.0,0
1090,0,4,3,1,16,2,1,1,4.6,0
1091,3,2,4,3,30,6,3,0,4.5,1
1092,3,4,3,4,36,7,0,0,6.8,1
1093,3,1,2,4,27,7,0,0,4.6,1
1094,3,4,1,0,0,0,0,0,8.4,1
1095,2,4,4,4,41,7,1,0,5.8,0
1096,0,3,2,4,11,1,2,0,5.9,0
1097,3,4,4,4,0,5,1,0,9.3,1
1098,3,4,5,2,3,2,0,1,6.4,1
1099,2,2,3,1,6,2,0,0,4.0,0
1100,3,4,3,5,24,5,4,1,6.4,1
1101,3,4,3,0,5,1,0,1,6.4,1
1102,1,0,0,3,27,4,0,0,7.3,0
1103,2,4,5,3,19,4,2,0,3.9,0
1104,0,4,2,4,49,3,2,1,4.3,0
1105,2,4,3,0,25,6,1,0,6.4,0
1106,1,4,5,0,35,6,0,0,10.0,0
1107,0,4,1,5,7,0,0,1,3.1,0
1108,1,4,1,2,35,1,1,1,7.5,0
1109,2,1,2,2,11,7,0,1,6.4,0
1110,0,4,3,2,32,2,1,0,3.1,0
1111,2,1,3,0,28,2,1,0,9.6,0
1112,1,0,0,0,0,4,3,0,6.2,0
1113,1,0,4,0,45,1,4,1,8.1,0
1114,0,4,5,2,5,7,0,0,9.2,0
1115,2,4,2,0,42,1,0,1,5.9,0
1116,3,3,4,0,29,0,1,0,6.2,1
1117,2,0,3,3,15,6,1,0,7.4,0
1118,2,2,5,1,11,0,1,0,6.1,0
1119,3,4,2,3,0,4,2,0,7.5,1
1120,3,4,0,3,3,2,4,0,2.8,1
1121,1,4,4,5,1,2,0,1,4.9,0
1122,1,0,1,1,12,7,0,1,6.9,0
1123,1,4,3,5,21,2,1,0,6.3,1
1124,3,1,5,0,40,2,0,1,10.0,1
1125,3,2,3,3,5,1,0,0,5.9,1
1126,2,4,1,0,27,2,1,0,6.4,0
1127,0,4,3,3,36,1,0,0,7.0,1
1128,3,0,2,1,35,4,1,0,5.3,1
1129,3,1,5,1,21,2,0,0,8.4,1
1130,1,4,5,2,0,2,3,0,6.4,0
1131,2,4,1,3,18,6,0,1,10.0,0
1132,3,2,3,0,27,4,0,1,9.8,1
1133,0,4,3,5,14,3,3,1,7.6,0
1134,0,4,4,0,22,0,3,0,6.3,0
1135,1,4,5,3,0,2,0,0,8.0,1
1136,2,4,1,1,16,3,1,1,10.0,0
1137,1,4,5,4,14,7,1,0,10.0,0
1138,0,4,2,1,12,4,1,1,6.2,0
1139,0,4,3,4,22,7,1,1,6.4,1
1140,1,4,2,0,11,1,2,1,6.3,0
1141,3,4,1,3,25,1,3,0,2.6,1
1142,3,4,3,3,23,4,4,0,9.5,1
1143,0,4,1,4,35,3,2,1,7.5,0
1144,3,1,2,0,27,2,0,1,6.3,1
1145,0,4,4,5,32,2,3,0,7.8,1
1146,2,1,4,5,1,2,1,0,7.1,0
1147,2,2,0,4,11,2,2,0,6.8,0
